Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
06/21/00,Dem,6,3.078,0.51,0.528,0.513,0.51
06/21/00,Reform,6,0.029,0.004,0.005,0.005,0.005
06/21/00,Rep,3,1.442,0.48,0.481,0.481,0.48
06/22/00,Dem,112,57.302,0.51,0.52,0.512,0.51
06/22/00,Reform,56,0.341,0.006,0.007,0.006,0.006
06/22/00,Rep,233,115.125,0.481,0.505,0.494,0.505
06/23/00,Dem,11,5.601,0.501,0.51,0.509,0.51
06/23/00,Reform,0,0,0,0,,0.006
06/23/00,Rep,2,1,0.5,0.5,0.5,0.5
06/24/00,Dem,0,0,0,0,,0.51
06/24/00,Reform,0,0,0,0,,0.006
06/24/00,Rep,0,0,0,0,,0.5
06/25/00,Dem,0,0,0,0,,0.51
06/25/00,Reform,0,0,0,0,,0.006
06/25/00,Rep,25,12.588,0.488,0.507,0.504,0.488
06/26/00,Dem,78,39.684,0.499,0.515,0.509,0.515
06/26/00,Reform,35,0.14,0.004,0.004,0.004,0.004
06/26/00,Rep,49,24.234,0.49,0.506,0.495,0.498
06/27/00,Dem,238,118.487,0.486,0.506,0.498,0.5
06/27/00,Reform,99,0.598,0.004,0.008,0.006,0.005
06/27/00,Rep,340,173.824,0.498,0.515,0.511,0.51
06/28/00,Dem,56,27.064,0.454,0.49,0.483,0.454
06/28/00,Reform,59,0.297,0.005,0.007,0.005,0.005
06/28/00,Rep,85,43.816,0.51,0.52,0.515,0.52
06/29/00,Dem,16,7.734,0.481,0.484,0.483,0.484
06/29/00,Reform,0,0,0,0,,0.005
06/29/00,Rep,4,2.08,0.52,0.52,0.52,0.52
06/30/00,Dem,73,35.04,0.48,0.48,0.48,0.48
06/30/00,Reform,117,0.483,0.004,0.007,0.004,0.007
06/30/00,Rep,102,52.648,0.515,0.519,0.516,0.515
07/01/00,Dem,0,0,0,0,,0.48
07/01/00,Reform,49,0.338,0.005,0.008,0.007,0.005
07/01/00,Rep,41,21.448,0.519,0.54,0.523,0.54
